Route,Date,Total_Market_Forecast,Total_Market_Lower_CI,Total_Market_Upper_CI,CebuPac_Forecast,CebuPac_Lower_CI,CebuPac_Upper_CI
Davao City (DVO)-Bacolod City (BCD),2025-12-01,4608.79897792701,2275.3517850538774,6942.246170800143,4608.79897792701,2275.3517850538774,6942.246170800143
Davao City (DVO)-Bacolod City (BCD),2026-01-01,4588.300336416952,2229.168962420049,6947.4317104138545,4588.300336416952,2229.168962420049,6947.4317104138545
Davao City (DVO)-Bacolod City (BCD),2026-02-01,4409.869992911959,2035.0640321003752,6784.675953723543,4409.869992911959,2035.0640321003752,6784.675953723543
Davao City (DVO)-Bacolod City (BCD),2026-03-01,4164.170730735043,1779.765792163906,6548.575669306181,4164.170730735043,1779.765792163906,6548.575669306181
Davao City (DVO)-Bacolod City (BCD),2026-04-01,1911.1197634827993,-479.17571547774264,4301.415242443341,1911.1197634827993,-479.17571547774264,4301.415242443341
Davao City (DVO)-Bacolod City (BCD),2026-05-01,1998.7894875410893,-395.12535599649937,4392.704331078678,1998.7894875410893,-395.12535599649937,4392.704331078678
Davao City (DVO)-Bacolod City (BCD),2026-06-01,1882.0979221950797,-514.0425023203034,4278.238346710463,1882.0979221950797,-514.0425023203034,4278.238346710463
Davao City (DVO)-Cebu (CEB),2025-07-01,22276.3639124434,12553.873082963417,31998.854741923387,16580.369492908096,8721.42597847982,24439.31300733637
Davao City (DVO)-Cebu (CEB),2025-08-01,23101.482300420987,10437.597203493317,35765.36739734866,15971.254349010513,6367.140153234352,25575.368544786674
Davao City (DVO)-Cebu (CEB),2025-09-01,20615.005946041583,6253.844596504579,34976.16729557859,15543.381894413491,5185.923734422588,25900.840054404394
Davao City (DVO)-Cebu (CEB),2025-10-01,18818.133011467726,3384.5602674592174,34251.705755476236,15242.823224616797,4533.146336928163,25952.50011230543
Davao City (DVO)-Cebu (CEB),2025-11-01,18258.402928602034,2119.846585521098,34396.95927168297,15031.696022995373,4152.422877615272,25910.96916837547
Davao City (DVO)-Cebu (CEB),2025-12-01,20677.925673547274,4065.9494767463657,37289.901870348185,14883.389885978448,3921.398769143485,25845.38100281341
Davao City (DVO)-Cebu (CEB),2026-01-01,18301.665082588755,1367.7250265445437,35235.605138632964,14779.212356470327,3776.634438335368,25781.790274605286
Davao City (DVO)-Cebu (CEB),2026-02-01,11161.499972989455,-5993.1489128667345,28316.148858845645,14706.032932660126,3683.48313492741,25728.58273039284
Davao City (DVO)-Cebu (CEB),2026-03-01,15843.352956241883,-1463.37800120652,33150.08391369029,14654.628103859923,3622.2368052560596,25687.019402463786
Davao City (DVO)-Cebu (CEB),2026-04-01,23045.5933593769,5633.707332270955,40457.479386482846,14618.51882222863,3581.274616947505,25655.763027509754
Davao City (DVO)-Cebu (CEB),2026-05-01,22906.96566088033,5422.202571897575,40391.72874986309,14593.153885697166,3553.515872920483,25632.79189847385
Davao City (DVO)-Cebu (CEB),2026-06-01,24095.72324213448,6560.373146000966,41631.073338268,14575.33630594538,3534.517296240978,25616.155315649783
