Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
Philippine Airlines,MNL-DPL,2022.0,10,3606.9120000000003,32.57,5087.89,3757.89,5067.16,6235,106
Cebu Pacific,MNL-DVO,2022.0,10,25623.84,47.01,5105.38,3757.89,5087.17,6235,693
Philippine Airlines,MNL-DVO,2022.0,10,19126.976000000002,32.57,5105.38,3757.89,5087.17,6235,693
Philippine Airlines,MNL-EUQ,2022.0,10,659.328,32.57,10000.0,3757.89,10000.0,6235,22
Cebu Pacific,MNL-GES,2022.0,10,13635.664,47.01,5309.9,3757.89,5296.56,6235,185
Philippine Airlines,MNL-GES,2022.0,10,8199.584,32.57,5309.9,3757.89,5296.56,6235,185
Philippine Airlines,MNL-IAO,2022.0,10,3681.248,32.57,10000.0,3757.89,5335.38,6235,262
AirAsia,MNL-ILO,2022.0,10,16717.68,16.79,3495.83,3757.89,3247.42,6235,671
Cebu Pacific,MNL-ILO,2022.0,10,11971.296,47.01,3495.83,3757.89,3247.42,6235,671
Philippine Airlines,MNL-ILO,2022.0,10,20906.192,32.57,3495.83,3757.89,3247.42,6235,671
AirAsia,MNL-KLO,2022.0,10,12499.2,16.79,8696.69,3757.89,8596.98,6235,172
Cebu Pacific,MNL-KLO,2022.0,10,941.904,47.01,8696.69,3757.89,8596.98,6235,172
Philippine Airlines,MNL-LAO,2022.0,10,754.672,32.57,10000.0,3757.89,10000.0,6235,25
Cebu Pacific,MNL-LGP,2022.0,10,11773.800000000001,47.01,5155.21,3757.89,5160.26,6235,288
Philippine Airlines,MNL-LGP,2022.0,10,8246.448,32.57,5155.21,3757.89,5160.26,6235,288
Cebgo,MNL-MBT,2022.0,10,60.768,3.63,10000.0,3757.89,10000.0,6235,1
Philippine Airlines,MNL-MNL,2022.0,10,150.288,32.57,10000.0,3757.89,3757.89,6235,6235
AirAsia,MNL-MPH,2022.0,10,14061.6,16.79,3291.31,3757.89,3432.34,6235,852
