Route,History_Months,Total_Avg_Historical,CebuPac_Avg_Historical,Market_Share_Pct,Total_Model,Total_AIC,CebuPac_Model,CebuPac_AIC,Total_Forecast_Avg,CebuPac_Forecast_Avg
Manila (MNL)-Dumaguete City (DGT),39,23836.85738461538,16103.970615384616,67.55911803113077,"SARIMA(2, 0, 0)(0, 0, 0, 12)",764.9902476218507,"SARIMA(2, 0, 0)(0, 0, 0, 12)",741.3064187163093,19231.436631822053,14145.001147082507
Manila (MNL)-General Santos (GES),39,32316.672333333332,19986.66012820513,61.84628145512898,"SARIMA(1, 1, 0)(0, 1, 0, 12)",526.9589398577713,"SARIMA(0, 2, 1)(0, 1, 0, 12)",493.4191700888161,-7577.945559712424,-22621.02984836715
Manila (MNL)-Iloilo (ILO),39,70674.1717948718,33762.40635897437,47.771916531216014,"SARIMA(2, 0, 1)(0, 1, 0, 12)",592.2892996488412,"SARIMA(1, 0, 0)(0, 0, 0, 12)",795.1276208969485,61271.60227291455,5555.7754823468895
Manila (MNL)-Kalibo (KLO),37,16718.00675675675,3138.6494594594596,18.77406502537118,"SARIMA(1, 0, 0)(0, 1, 0, 12)",469.89268745538226,"SARIMA(1, 0, 0)(0, 0, 1, 12)",636.2006660363319,16880.73709934611,3899.8867944011236
Manila (MNL)-Laoag City (LAO),39,10318.297487179487,3335.323384615385,32.32435766423224,"SARIMA(0, 1, 0)(0, 1, 0, 12)",474.23253230951485,"SARIMA(0, 1, 0)(0, 1, 0, 12)",440.835121305297,-2809.8398333333294,-1090.425
Manila (MNL)-Legazpi (DRP),36,23321.183277777774,12643.272166666668,54.21368211069356,"SARIMA(3, 0, 0)(0, 1, 0, 12)",489.8142548180168,"SARIMA(1, 1, 0)(0, 0, 0, 12)",657.6732210281755,36640.703368807706,-1427.1059347665948
Manila (MNL)-Manila (MNL),34,985.8126470588235,468.41741176470583,47.515865531065295,"SARIMA(1, 0, 0)(0, 1, 0, 12)",392.1203646372729,"SARIMA(0, 0, 1)(0, 1, 0, 12)",372.4937621712438,2077.4611463580854,1520.4709779681364
Manila (MNL)-Ozamiz (OZC),39,10561.736974358977,6587.886307692309,62.37502717295369,"SARIMA(2, 0, 0)(0, 0, 0, 12)",686.562076492237,"SARIMA(2, 0, 0)(0, 0, 0, 12)",660.1354153708552,-1080.9305955510406,5500.309816890804
Manila (MNL)-Pagadian (PAG),39,8243.84907692308,8243.84907692308,100.0,"SARIMA(1, 0, 1)(0, 0, 0, 12)",696.9389185033059,"SARIMA(1, 0, 1)(0, 0, 0, 12)",696.9389185033059,6495.794852709404,6495.794852709404
Manila (MNL)-Panglao (TAG),39,41078.86235897436,20654.417282051283,50.27991549902059,"SARIMA(2, 0, 2)(2, 1, 0, 12)",552.796393634227,"SARIMA(1, 0, 0)(0, 0, 0, 12)",772.7170724805864,-4408.099757652383,2534.1351559457703
Manila (MNL)-Puerto Princesa City (PPS),39,52986.64369230769,25012.110974358973,47.20455803844412,"SARIMA(2, 0, 0)(1, 0, 1, 12)",822.6094528347371,"SARIMA(2, 0, 0)(1, 0, 0, 12)",760.38128979201,26224.350827374557,13139.409396177418
Manila (MNL)-Roxas City (RXS),39,13478.762512820513,7515.325230769231,55.75678942054899,"SARIMA(1, 0, 0)(0, 0, 0, 12)",722.5498168540466,"SARIMA(1, 0, 1)(0, 0, 0, 12)",689.2786526178835,2082.3225428853398,5122.970863209117
Manila (MNL)-Tacloban (TAC),38,41130.130263157895,19980.51836842105,48.578786987987,"SARIMA(0, 1, 0)(2, 1, 0, 12)",531.6591083284736,"SARIMA(0, 0, 1)(0, 0, 0, 12)",752.872266103939,4268.737094715248,18249.73786019502
Manila (MNL)-Tuguegarao (TUG),38,11725.160789473686,9323.010157894736,79.51285551891544,"SARIMA(1, 0, 0)(0, 1, 0, 12)",496.4866747271481,"SARIMA(1, 0, 0)(1, 1, 1, 12)",481.80226506353193,11841.917889381215,7870.161085513978
Manila (MNL)-Virac (VRC),37,4578.420162162163,4578.420162162163,100.0,"SARIMA(1, 1, 0)(0, 1, 0, 12)",390.9151724037923,"SARIMA(1, 1, 0)(0, 1, 0, 12)",390.9151724037923,2387.9554197184043,2387.9554197184043
Manila (MNL)-Zamboanga (ZAM),37,2733.843081081081,248.10891891891893,9.07546305916014,"SARIMA(0, 0, 0)(2, 1, 0, 12)",424.87669674827004,"SARIMA(0, 1, 1)(0, 1, 0, 12)",388.2999279116153,3623.1083586174077,1877.558852295383
Manila (MNL)-nan,28,1145.2144285714287,863.5907142857144,75.4086477379595,"SARIMA(1, 0, 0)(0, 0, 0, 12)",481.8627299932377,"SARIMA(1, 0, 0)(0, 0, 0, 12)",468.3319337804258,976.9763380358573,47.29721260737198
Ozamiz (OZC)-Cebu (CEB),39,2346.146307692308,27.60661538461538,1.1766791906413336,"SARIMA(0, 0, 1)(0, 0, 0, 12)",603.0781024835705,"SARIMA(1, 0, 0)(0, 1, 1, 12)",301.82130437575137,2210.6451920665577,76.41466961305382
Ozamiz (OZC)-Manila (MNL),37,10944.574432432433,6939.7404324324325,63.40804272724997,"SARIMA(0, 1, 0)(0, 1, 0, 12)",427.8198726887535,"SARIMA(0, 1, 0)(2, 1, 1, 12)",404.4652216281221,3754.8439999999996,1381.4895836722674
Pagadian (PAG)-Cebu (CEB),37,2033.385081081081,4.283027027027027,0.210635312852295,"SARIMA(0, 0, 1)(0, 0, 0, 12)",566.9229030515465,"SARIMA(0, 0, 0)(0, 0, 0, 12)",348.25025488477763,1986.2894957174756,0.0
Pagadian (PAG)-Manila (MNL),37,8561.037081081082,8561.037081081082,100.0,"SARIMA(0, 0, 1)(0, 0, 0, 12)",641.7839075911127,"SARIMA(0, 0, 1)(0, 0, 0, 12)",641.7839075911127,8364.330125396553,8364.330125396553
Panglao (TAG)-Davao City (DVO),39,2696.50517948718,1696.873794871795,62.92863102137656,"SARIMA(0, 1, 0)(0, 0, 0, 12)",626.3465263156432,"SARIMA(0, 1, 0)(0, 0, 0, 12)",616.196211784521,388.23999999999995,388.23999999999995
Panglao (TAG)-Manila (MNL),39,49273.52487179487,25737.460615384618,52.23385313380988,"SARIMA(2, 1, 0)(2, 1, 0, 12)",538.9852329520668,"SARIMA(1, 0, 0)(0, 0, 0, 12)",775.2369921763514,-2743.6633486688993,2294.5326098256764
Puerto Princesa City (PPS)-Cebu (CEB),39,5695.966820512821,4526.373230769231,79.46628506452063,"SARIMA(0, 1, 0)(0, 0, 0, 12)",676.3977901777848,"SARIMA(0, 1, 0)(0, 0, 0, 12)",672.163900581976,1293.0079999999998,1293.008
Puerto Princesa City (PPS)-Iloilo (ILO),29,2525.853793103448,2525.853793103448,100.0,"SARIMA(0, 1, 0)(0, 0, 0, 12)",458.32576414688737,"SARIMA(0, 1, 0)(0, 0, 0, 12)",458.32576414688737,1412.856,1412.856
Puerto Princesa City (PPS)-Manila (MNL),39,52230.47405128205,24988.281025641023,47.842340088865534,"SARIMA(2, 0, 1)(0, 0, 0, 12)",814.0683612539295,"SARIMA(2, 0, 0)(1, 0, 0, 12)",765.956540787666,37366.71710422247,15678.004178607182
Roxas City (RXS)-Manila (MNL),37,13711.764864864868,7780.374972972973,56.742330762318325,"SARIMA(0, 1, 0)(2, 1, 0, 12)",445.1620857402375,"SARIMA(0, 1, 0)(0, 0, 0, 12)",642.2837197176439,5846.8883366478,3767.6160000000004
Tacloban (TAC)-Manila (MNL),39,55603.21558974359,23100.071538461536,41.54448855782095,"SARIMA(1, 1, 0)(0, 1, 0, 12)",554.9705106114077,"SARIMA(2, 0, 0)(0, 0, 1, 12)",762.254460628373,-10558.343378899748,17090.040706520824
Tawi Tawi (TWT)-Zamboanga (ZAM),37,3819.294756756757,2209.7704864864863,57.858076614200996,"SARIMA(2, 0, 0)(0, 0, 0, 12)",650.1110819142699,"SARIMA(1, 0, 0)(0, 0, 0, 12)",644.1990550842115,3140.0303122091077,1903.7907557032424
Tokyo (NRT)-Angeles City (CRK),31,3608.287677419355,3608.287677419355,100.0,"SARIMA(0, 0, 2)(0, 0, 0, 12)",520.5465905747315,"SARIMA(0, 0, 2)(0, 0, 0, 12)",520.5465905747315,3176.5250215501496,3176.5250215501496
Tuguegarao (TUG)-Manila (MNL),37,16395.645837837837,14166.103243243244,86.40161774262494,"SARIMA(1, 0, 0)(0, 1, 0, 12)",496.6580918146811,"SARIMA(1, 0, 0)(0, 1, 0, 12)",482.9865528279324,17086.111276039177,15024.374436088046
Zamboanga (ZAM)-Cebu (CEB),39,4618.392717948719,3408.75641025641,73.80828392979161,"SARIMA(1, 0, 0)(1, 0, 0, 12)",705.2735241605219,"SARIMA(1, 0, 0)(0, 0, 1, 12)",705.0664863217169,4042.543071068921,3348.8862987705847
Zamboanga (ZAM)-Manila (MNL),39,26292.600102564105,17967.608512820516,68.33713076200584,"SARIMA(2, 0, 0)(0, 0, 0, 12)",761.3657001591108,"SARIMA(1, 0, 0)(0, 0, 0, 12)",744.0154056581855,13267.323624269675,1216.2829465698692
Zamboanga (ZAM)-Tawi Tawi (TWT),38,5086.493947368421,3523.613368421052,69.27391253938384,"SARIMA(2, 0, 1)(1, 0, 0, 12)",690.4025425934406,"SARIMA(1, 0, 0)(1, 0, 0, 12)",685.0228597510225,5963.458717235732,3372.5081026284693
nan-Manila (MNL),27,187.69992592592595,40.98807407407407,21.837021976369684,"SARIMA(1, 0, 0)(0, 0, 1, 12)",340.4566466344586,"SARIMA(0, 0, 0)(0, 0, 0, 12)",315.2208945516603,185.64857576312156,40.98807407407408
nan-nan,23,223.1999130434783,54.31913043478261,24.336537453848152,"SARIMA(1, 0, 0)(1, 0, 0, 12)",294.03613906569177,"SARIMA(0, 0, 0)(0, 0, 0, 12)",272.4498862721417,190.49546814840437,54.31913043478261
