DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
18-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4102),1:12,1:05 PM,1:28 PM,2:55 PM,Landed 2:40 PM,5J773,Cebu Pacific
17-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4268),1:36,1:05 PM,1:24 PM,2:55 PM,Landed 3:01 PM,5J773,Cebu Pacific
16-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),0:08,2:34 PM,1:22 PM,1:30 PM,Landed 1:30 PM,5J773,Cebu Pacific
16-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),3:20,1:05 PM,11:42 AM,2:55 PM,Landed 3:02 PM,5J773,Cebu Pacific
15-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4102),1:12,1:05 PM,1:32 PM,2:55 PM,Landed 2:44 PM,5J773,Cebu Pacific
14-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4104),1:15,1:05 PM,1:31 PM,2:55 PM,Landed 2:45 PM,5J773,Cebu Pacific
13-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4350),1:08,1:05 PM,1:14 PM,2:55 PM,Landed 2:23 PM,5J773,Cebu Pacific
12-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4265),1:16,1:05 PM,1:10 PM,2:55 PM,Landed 2:27 PM,5J773,Cebu Pacific
11-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3239),1:15,1:05 PM,1:22 PM,2:55 PM,Landed 2:37 PM,5J773,Cebu Pacific
10-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4265),1:14,1:05 PM,3:06 PM,2:55 PM,Landed 4:21 PM,5J773,Cebu Pacific
9-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4262),1:20,1:05 PM,1:56 PM,2:55 PM,Landed 3:16 PM,5J773,Cebu Pacific
8-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4130),1:13,1:05 PM,1:28 PM,2:55 PM,Landed 2:42 PM,5J773,Cebu Pacific
7-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4265),1:17,1:05 PM,1:36 PM,2:55 PM,Landed 2:53 PM,5J773,Cebu Pacific
6-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4105),1:20,1:05 PM,2:42 PM,2:55 PM,Landed 4:02 PM,5J773,Cebu Pacific
5-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3239),1:19,1:05 PM,2:00 PM,2:55 PM,Landed 3:19 PM,5J773,Cebu Pacific
4-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4130),1:17,1:05 PM,1:31 PM,2:55 PM,Landed 2:48 PM,5J773,Cebu Pacific
3-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4104),1:23,1:05 PM,3:48 PM,2:55 PM,Landed 5:11 PM,5J773,Cebu Pacific
2-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:15,1:05 PM,2:20 PM,2:55 PM,Landed 3:35 PM,5J773,Cebu Pacific
1-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4263),1:15,1:05 PM,1:32 PM,2:55 PM,Landed 2:48 PM,5J773,Cebu Pacific
30-Apr-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4263),1:18,1:05 PM,1:39 PM,2:55 PM,Landed 2:57 PM,5J773,Cebu Pacific
29-Apr-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4104),1:21,1:05 PM,1:32 PM,2:55 PM,Landed 2:53 PM,5J773,Cebu Pacific
28-Apr-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4101),1:10,1:05 PM,1:38 PM,2:55 PM,Landed 2:49 PM,5J773,Cebu Pacific
27-Apr-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4105),1:19,1:05 PM,1:31 PM,2:55 PM,Landed 2:49 PM,5J773,Cebu Pacific
26-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),1:15,1:05 PM,2:38 PM,2:55 PM,Landed 3:53 PM,5J773,Cebu Pacific
25-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4350),1:11,1:05 PM,1:17 PM,2:55 PM,Landed 2:28 PM,5J773,Cebu Pacific
24-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4265),1:15,1:05 PM,1:41 PM,2:55 PM,Landed 2:55 PM,5J773,Cebu Pacific
23-Apr-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4262),1:18,1:05 PM,2:22 PM,2:55 PM,Landed 3:40 PM,5J773,Cebu Pacific
22-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4350),1:12,1:05 PM,1:30 PM,2:55 PM,Landed 2:42 PM,5J773,Cebu Pacific
21-Apr-25,Manila (MNL),Pagadian (PAG),A320 (RP-C3277),1:11,1:05 PM,1:38 PM,2:55 PM,Landed 2:49 PM,5J773,Cebu Pacific
20-Apr-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4106),1:18,1:05 PM,1:33 PM,2:55 PM,Landed 2:51 PM,5J773,Cebu Pacific
19-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4265),1:10,1:05 PM,1:07 PM,2:55 PM,Landed 2:18 PM,5J773,Cebu Pacific
18-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4130),1:10,1:05 PM,1:27 PM,2:55 PM,Landed 2:38 PM,5J773,Cebu Pacific
17-Apr-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4263),1:12,1:05 PM,1:16 PM,2:55 PM,Landed 2:29 PM,5J773,Cebu Pacific
16-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),1:10,1:05 PM,1:27 PM,2:55 PM,Landed 2:37 PM,5J773,Cebu Pacific
15-Apr-25,Manila (MNL),Pagadian (PAG),A320 (RP-C3279),1:15,1:05 PM,1:18 PM,2:55 PM,Landed 2:33 PM,5J773,Cebu Pacific
14-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:16,1:05 PM,1:42 PM,2:55 PM,Landed 2:57 PM,5J773,Cebu Pacific
13-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:11,1:05 PM,1:44 PM,2:55 PM,Landed 2:55 PM,5J773,Cebu Pacific
12-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:19,1:05 PM,2:25 PM,2:55 PM,Landed 3:44 PM,5J773,Cebu Pacific
11-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:06,1:05 PM,1:37 PM,2:55 PM,Landed 2:42 PM,5J773,Cebu Pacific
10-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4135),1:17,1:05 PM,1:21 PM,2:55 PM,Landed 2:39 PM,5J773,Cebu Pacific
9-Apr-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:24,1:05 PM,1:36 PM,2:55 PM,Landed 3:00 PM,5J773,Cebu Pacific
