Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
Cebu Pacific,MNL-DVO,2022,10,25623.84,56.19,5076.63,3720.46,5046.04,2796,350
Cebu Pacific,MNL-GES,2022,10,13635.664,61.42,5260.83,3720.46,5260.85,2796,93
Cebu Pacific,MNL-ILO,2022,10,11971.296,23.66,3523.29,3720.46,3287.93,2796,332
Cebu Pacific,MNL-KLO,2022,10,941.904,6.98,8701.44,3720.46,8715.81,2796,87
Cebu Pacific,MNL-LGP,2022,10,11773.8,57.75,5120.12,3720.46,5120.11,2796,147
Cebu Pacific,MNL-MPH,2022,10,20250.936,41.33,3275.92,3720.46,3437.64,2796,386
Cebu Pacific,MNL-OZC,2022,10,5808.408,100.0,10000.0,3720.46,10000.0,2796,37
Cebu Pacific,MNL-PAG,2022,10,4866.504,100.0,10000.0,3720.46,8183.56,2796,40
Cebu Pacific,MNL-PPS,2022,10,11301.16,62.61,4637.56,3720.46,4145.35,2796,158
Cebu Pacific,MNL-RXS,2022,10,4395.552,100.0,10000.0,3720.46,10000.0,2796,28
Cebu Pacific,MNL-TAC,2022,10,470.952,30.0,3400.0,3720.46,3179.68,2796,14
Cebu Pacific,MNL-TAG,2022,10,6959.624,27.59,3396.38,3720.46,3446.22,2796,173
Cebu Pacific,MNL-TUG,2022,10,156.984,100.0,10000.0,3720.46,10000.0,2796,1
Cebu Pacific,MPH-CEB,2022,10,4709.52,89.14,8063.88,3385.69,2867.88,463,908
Cebu Pacific,MPH-MNL,2022,10,24332.52,39.93,3270.23,3385.69,3770.31,463,3440
Cebu Pacific,MPH-MPH,2022,10,156.984,50.0,5000.0,3385.69,3437.64,463,386
Cebu Pacific,OZC-MNL,2022,10,5808.408,70.63,5851.19,4376.84,3770.31,86,3440
Cebu Pacific,PAG-MNL,2022,10,9262.056,100.0,10000.0,7073.97,3770.31,92,3440
Cebu Pacific,PPS-MNL,2022,10,8991.976,35.3,3348.47,3383.27,3770.31,182,3440
Cebu Pacific,RXS-MNL,2022,10,7692.216,76.56,6283.66,6284.18,3770.31,64,3440
Cebu Pacific,TAC-MNL,2022,10,21506.808,59.57,4673.31,4284.39,3770.31,263,3440
