DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
5/7/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:16:00,9:45:00,9:40:00,11:15:00,Landed 10:56 AM,PR2688,Philippine Airlines
5/5/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:16:00,9:45:00,9:35:00,11:15:00,Landed 10:52 AM,PR2688,Philippine Airlines
5/4/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:14:00,9:45:00,9:35:00,11:15:00,Landed 10:50 AM,PR2688,Philippine Airlines
5/3/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:23:00,9:45:00,9:45:00,11:15:00,Landed 11:08 AM,PR2688,Philippine Airlines
5/2/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:14:00,9:45:00,9:50:00,11:15:00,Landed 11:04 AM,PR2688,Philippine Airlines
5/1/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:18:00,9:45:00,9:40:00,11:15:00,Landed 10:58 AM,PR2688,Philippine Airlines
4/30/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5917),1:11:00,10:35:00,11:33:00,12:05:00,Landed 12:45 PM,PR2688,Philippine Airlines
4/28/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5907),1:13:00,10:35:00,10:32:00,12:05:00,Landed 11:45 AM,PR2688,Philippine Airlines
4/27/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:20:00,10:35:00,10:48:00,12:05:00,Landed 12:08 PM,PR2688,Philippine Airlines
4/25/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:10:00,10:35:00,11:11:00,12:05:00,Landed 12:21 PM,PR2688,Philippine Airlines
4/23/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:11:00,10:35:00,10:54:00,12:05:00,Landed 12:06 PM,PR2688,Philippine Airlines
4/21/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:12:00,10:35:00,10:21:00,12:05:00,Landed 11:34 AM,PR2688,Philippine Airlines
4/20/2025 0:00,,Angeles City (CRK),DH8D (RP-C5903),-,,,13:50:00,Landed 1:50 PM,PR2688,Philippine Airlines
4/20/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:09:00,10:35:00,10:24:00,12:05:00,Landed 11:33 AM,PR2688,Philippine Airlines
4/18/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:08:00,10:35:00,10:40:00,12:05:00,Landed 11:48 AM,PR2688,Philippine Airlines
4/16/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:10:00,10:35:00,11:13:00,12:05:00,Landed 12:23 PM,PR2688,Philippine Airlines
4/14/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:11:00,10:35:00,10:32:00,12:05:00,Landed 11:44 AM,PR2688,Philippine Airlines
4/11/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:17:00,10:35:00,10:35:00,12:05:00,Landed 11:53 AM,PR2688,Philippine Airlines
4/9/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5910),1:10:00,10:35:00,10:41:00,12:05:00,Landed 11:51 AM,PR2688,Philippine Airlines
4/7/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5907),1:11:00,10:35:00,10:30:00,12:05:00,Landed 11:42 AM,PR2688,Philippine Airlines
4/6/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5907),1:13:00,10:35:00,10:33:00,12:05:00,Landed 11:47 AM,PR2688,Philippine Airlines
4/4/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5910),1:13:00,10:35:00,10:38:00,12:05:00,Landed 11:51 AM,PR2688,Philippine Airlines
4/2/2025 0:00,,Angeles City (CRK),DH8D (RP-C5907),-,,,13:44:00,Landed 1:44 PM,PR2688,Philippine Airlines
4/2/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5907),1:10:00,10:35:00,10:30:00,12:05:00,Landed 11:41 AM,PR2688,Philippine Airlines
3/31/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5907),1:18:00,10:35:00,10:33:00,12:05:00,Landed 11:52 AM,PR2688,Philippine Airlines
3/28/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:24:00,10:35:00,10:26:00,12:10:00,Landed 11:51 AM,PR2688,Philippine Airlines
